Elapsed s, Pressure dBar, Conductivity S/m, Temperature degC, Density SG, Sound Speed m/s
3102,2339.875976,3.14429,1.9413,1.038446589,1496.232054
3112,2347.870849,3.14429,1.9407,1.038479986,1496.360338
3122,2354.755859,3.14437,1.9322,1.038517289,1496.448584
3132,2362.082031,3.14428,1.9311,1.038547557,1496.56307
3143,2369.291992,3.14429,1.9294,1.038578891,1496.675549
3153,2377.324951,3.14431,1.9116,1.038629385,1496.754091
3163,2384.610839,3.14429,1.911,1.038659665,1496.87059
3173,2391.657959,3.1442,1.9152,1.03868361,1496.996235
3183,2398.892089,3.14403,1.9121,1.038714667,1497.102084
3193,2406.684082,3.14384,1.8989,1.038757662,1497.18689
3204,2413.74707,3.14379,1.9112,1.038774154,1497.337408
3214,2420.887207,3.1437,1.9007,1.038812799,1497.421237
3224,2427.955078,3.14323,1.8921,1.038845641,1497.503276
3234,2435.701904,3.14282,1.8803,1.038884963,1497.587919
3244,2442.842041,3.14271,1.8763,1.038917074,1497.690647
3254,2449.949951,3.14264,1.8705,1.03895119,1497.788203
3265,2457.022949,3.1426,1.8644,1.038985743,1497.88481
3275,2464.742919,3.14239,1.8663,1.039013507,1498.012817
3285,2471.845947,3.14221,1.8466,1.0390601,1498.067466
3295,2479.012207,3.14213,1.8427,1.039092498,1498.171475
3305,2486.32788,3.14203,1.8384,1.039125703,1498.276424
3315,2494.120849,3.14203,1.8357,1.039160261,1498.395543
3326,2501.307128,3.14207,1.8388,1.039187055,1498.522578
3336,2508.48706,3.1422,1.8177,1.039238312,1498.579495
3346,2515.535888,3.1422,1.8364,1.039248919,1498.749756
3356,2523.509033,3.14217,1.8302,1.03928733,1498.861045
3366,2530.6958,3.14197,1.8252,1.039319714,1498.96027
3377,2537.869873,3.14174,1.8108,1.039360934,1499.031025
3387,2544.884033,3.14151,1.7978,1.039400133,1499.103315
3397,2552.723144,3.14131,1.8062,1.039422091,1499.252837
3407,2559.718017,3.14108,1.7979,1.039456615,1499.338732
3417,2566.697021,3.14081,1.7942,1.039486195,1499.43732
3427,2573.855957,3.14064,1.7812,1.039526556,1499.513005
3438,2581.692871,3.14042,1.7901,1.039547812,1499.663715
3448,2588.664062,3.14027,1.7612,1.039603132,1499.689663
3458,2595.802978,3.1403,1.7668,1.039627151,1499.823357
3468,2602.775878,3.1403,1.7751,1.039647563,1499.961846
3478,2610.532959,3.14016,1.7525,1.039700035,1500.019467
3488,2617.563964,3.14015,1.7366,1.039744245,1500.087187
3499,2624.635009,3.14009,1.7523,1.039757228,1500.24823
3509,2631.73999,3.14005,1.7363,1.039801543,1500.316395
3519,2639.523925,3.13998,1.7487,1.039820568,1500.479201
3529,2646.480957,3.14003,1.7481,1.039850077,1500.592017
3539,2653.578125,3.14007,1.7342,1.039893068,1500.667626
3549,2660.505126,3.14021,1.7402,1.039916859,1500.800988
3560,2668.294921,3.14043,1.7395,1.039951495,1500.929973
3570,2675.141845,3.14042,1.7423,1.039976641,1501.050116
3580,2682.285888,3.14048,1.7364,1.04001218,1501.150547
3590,2689.2583,3.14062,1.728,1.040050231,1501.242105
3600,2696.963134,3.14085,1.7353,1.040076777,1501.393596
3610,2703.802001,3.14085,1.7322,1.040107746,1501.496372
3621,2710.812988,3.14076,1.7274,1.040140214,1501.595467
3631,2717.801025,3.14084,1.7224,1.040174416,1501.696408
3641,2725.549072,3.14091,1.7117,1.040217202,1501.792778
3651,2732.524902,3.14099,1.7129,1.040245281,1501.911892
3661,2739.608886,3.14112,1.7016,1.040286517,1501.99663
3671,2746.545898,3.14121,1.7107,1.040306792,1502.138675
3682,2754.366699,3.14132,1.7092,1.040341242,1502.26418
3692,2761.270019,3.14142,1.7147,1.040364996,1502.395214
3702,2768.280029,3.1415,1.7101,1.040398877,1502.497798
3712,2775.210937,3.14163,1.7045,1.040433893,1502.596963
